1990 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",39936,295,32940,472,90,499,82.5,45,23,131
"Aberdeen, WA, Micropolitan Statistical Area",64175,461,18067,721,83,554,28.2,880,13,565
"Abilene, TX, Metropolitan Statistical Area",148004,689,107810,177,229,189,72.8,148,15,443
"Ada, OK, Micropolitan Statistical Area",34119,209,25172,581,92,483,73.8,132,27,54
"Adrian, MI, Micropolitan Statistical Area",91476,560,35789,441,112,409,39.1,742,12,603
"Akron, OH, Metropolitan Statistical Area",657575,853,313212,73,483,83,47.6,610,7,833
"Alamogordo, NM, Micropolitan Statistical Area",51928,391,38098,418,65,679,73.4,139,13,587
"Albany, GA, Metropolitan Statistical Area",146574,685,92347,197,182,247,63.0,327,12,592
"Albany, OR, Metropolitan Statistical Area",91227,559,25666,570,121,382,28.1,881,13,553
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",809443,866,458009,54,611,69,56.6,443,8,823
"Albemarle, NC, Micropolitan Statistical Area",51765,390,39195,409,134,343,75.7,106,26,76
"Albert Lea, MN, Micropolitan Statistical Area",33060,195,27834,537,55,754,84.2,38,17,400
"Albertville, AL, Micropolitan Statistical Area",70832,487,45527,361,177,255,64.3,293,25,91
"Albuquerque, NM, Metropolitan Statistical Area",599416,846,311162,75,406,100,51.9,525,7,851
"Alexandria, LA, Metropolitan Statistical Area",149082,692,100838,191,242,175,67.6,239,16,412
"Alexandria, MN, Micropolitan Statistical Area",28674,138,22249,624,51,777,77.6,91,18,321
"Alice, TX, Micropolitan Statistical Area",37679,263,31857,485,42,830,84.5,33,11,665
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",686688,859,424002,57,655,58,61.7,345,10,740
"Alma, MI, Micropolitan Statistical Area",38982,285,15117,790,71,636,38.8,749,18,302
"Alpena, MI, Micropolitan Statistical Area",30605,165,20104,668,42,828,65.7,269,14,531
"Altoona, PA, Metropolitan Statistical Area",130542,662,69190,253,200,220,53.0,507,15,456
"Altus, OK, Micropolitan Statistical Area",28764,139,24287,595,51,775,84.4,36,18,327
"Amarillo, TX, Metropolitan Statistical Area",198422,742,144465,138,210,211,72.8,149,11,696
"Americus, GA, Micropolitan Statistical Area",33816,205,21869,635,57,744,64.7,285,17,382
"Ames, IA, Metropolitan Statistical Area",74252,497,35002,452,79,589,47.1,615,11,693
"Amsterdam, NY, Micropolitan Statistical Area",51981,392,32585,478,69,658,62.7,332,13,552
"Anchorage, AK, Metropolitan Statistical Area",266021,769,87831,207,226,195,33.0,839,8,790
"Andrews, TX, Micropolitan Statistical Area",14338,12,10978,858,23,905,76.6,97,16,420
"Angola, IN, Micropolitan Statistical Area",27446,125,9905,873,48,783,36.1,794,17,344
"Ann Arbor, MI, Metropolitan Statistical Area",282937,780,104216,183,187,238,36.8,782,7,860
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",116034,637,83494,215,202,219,72.0,161,17,350
"Appleton, WI, Metropolitan Statistical Area",174801,721,148508,136,144,313,85.0,31,8,803
"Arcadia, FL, Micropolitan Statistical Area",23865,89,10228,868,36,854,42.9,693,15,467
