2000 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",39827,247,34325,462,85,557,86.2,9,21,129
"Aberdeen, WA, Micropolitan Statistical Area",67194,447,20686,667,83,569,30.8,848,12,550
"Abilene, TX, Metropolitan Statistical Area",160241,686,105394,184,238,190,65.8,160,15,426
"Ada, OK, Micropolitan Statistical Area",35143,181,21733,643,90,511,61.8,222,26,50
"Adrian, MI, Micropolitan Statistical Area",98947,552,39404,413,106,442,39.8,685,11,635
"Akron, OH, Metropolitan Statistical Area",694960,849,308077,77,478,91,44.3,579,7,834
"Alamogordo, NM, Micropolitan Statistical Area",62298,420,28776,525,72,641,46.2,532,12,587
"Albany, GA, Metropolitan Statistical Area",157833,683,62031,285,181,262,39.3,699,11,593
"Albany, OR, Metropolitan Statistical Area",103069,565,32370,481,137,344,31.4,840,13,504
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",825875,861,455522,53,617,72,55.2,329,7,806
"Albemarle, NC, Micropolitan Statistical Area",58100,398,36401,440,136,350,62.7,208,23,97
"Albert Lea, MN, Micropolitan Statistical Area",32584,143,25078,572,53,776,77.0,52,16,342
"Albertville, AL, Micropolitan Statistical Area",82231,499,53670,323,208,222,65.3,167,25,54
"Albuquerque, NM, Metropolitan Statistical Area",729649,852,396824,61,475,93,54.4,343,7,844
"Alexandria, LA, Metropolitan Statistical Area",145035,667,89696,208,236,193,61.8,221,16,341
"Alexandria, MN, Micropolitan Statistical Area",32821,145,23732,597,53,778,72.3,88,16,346
"Alice, TX, Micropolitan Statistical Area",39326,240,23430,603,37,862,59.6,258,9,719
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",740394,853,448234,57,649,63,60.5,238,9,746
"Alma, MI, Micropolitan Statistical Area",42285,281,13988,810,71,650,33.1,823,17,308
"Alpena, MI, Micropolitan Statistical Area",31314,131,24389,582,44,823,77.9,45,14,462
"Altoona, PA, Metropolitan Statistical Area",129144,632,72183,246,196,239,55.9,318,15,402
"Altus, OK, Micropolitan Statistical Area",28439,106,24407,581,60,734,85.8,12,21,142
"Amarillo, TX, Metropolitan Statistical Area",228707,741,159226,136,227,199,69.6,117,10,690
"Americus, GA, Micropolitan Statistical Area",36966,203,15415,782,56,754,41.7,648,15,404
"Ames, IA, Metropolitan Statistical Area",79981,491,40765,398,92,498,51.0,417,12,591
"Amsterdam, NY, Micropolitan Statistical Area",49708,348,34927,453,65,695,70.3,108,13,517
"Anchorage, AK, Metropolitan Statistical Area",319605,774,113324,175,281,155,35.5,777,9,744
"Andrews, TX, Micropolitan Statistical Area",13004,2,10976,865,26,903,84.4,16,20,170
"Angola, IN, Micropolitan Statistical Area",33214,153,9503,886,47,810,28.6,867,14,457
"Ann Arbor, MI, Metropolitan Statistical Area",322770,777,107901,179,206,224,33.4,817,6,853
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",112249,592,72169,247,211,218,64.3,179,19,223
"Appleton, WI, Metropolitan Statistical Area",201722,725,160891,135,151,307,79.8,36,7,804
"Arcadia, FL, Micropolitan Statistical Area",32209,137,10092,875,42,834,31.3,841,13,519
"Ardmore, OK, Micropolitan Statistical Area",45621,310,36144,442,96,472,79.2,40,21,145
"Arkadelphia, AR, Micropolitan Statistical Area",23546,58,16110,764,82,581,68.4,127,35,2
"Arkansas City-Winfield, KS, Micropolitan Statistical Area",36291,196,18838,703,67,680,51.9,396,18,232
"Asheville, NC, Metropolitan Statistical Area",369171,794,212441,102,641,67,57.5,288,17,283
"Ashland, OH, Micropolitan Statistical Area",52523,362,21819,638,86,539,41.5,650,16,335
"Ashtabula, OH, Micropolitan Statistical Area",102728,562,41091,396,136,349,40.0,678,13,506
"Astoria, OR, Micropolitan Statistical Area",35630,183,8449,896,50,792,23.7,902,14,464
"Atchison, KS, Micropolitan Statistical Area",16774,17,10486,873,30,891,62.5,215,18,258
"Athens, OH, Micropolitan Statistical Area",62223,419,13923,811,90,508,22.4,911,14,440
"Athens, TN, Micropolitan Statistical Area",49015,341,34724,458,123,396,70.8,105,25,58
"Athens, TX, Micropolitan Statistical Area",73277,465,36100,444,114,416,49.3,469,16,381
"Athens-Clarke County, GA, Metropolitan Statistical Area",166079,692,59099,295,159,291,35.6,776,10,708
"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",4263475,907,1889741,10,2962,7,44.3,581,7,832
"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",252552,751,102543,190,145,323,40.6,668,6,876
"Auburn, IN, Micropolitan Statistical Area",40285,254,15306,784,67,674,38.0,732,17,319
"Auburn, NY, Micropolitan Statistical Area",81963,498,39466,412,86,541,48.2,486,10,649
"Auburn-Opelika, AL, Metropolitan Statistical Area",115092,599,39807,409,97,466,34.6,796,8,769
"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",508030,828,219279,98,529,79,43.2,615,10,656
"Augusta-Waterville, ME, Micropolitan Statistical Area",117114,603,42439,387,112,422,36.2,757,10,709
"Austin, MN, Micropolitan Statistical Area",38603,232,28880,523,63,705,74.8,74,16,339
"Austin-Round Rock, TX, Metropolitan Statistical Area",1249763,878,558223,45,782,51,44.7,571,6,856
"Bainbridge, GA, Micropolitan Statistical Area",28240,101,13522,820,58,742,47.9,490,21,156
"Bakersfield, CA, Metropolitan Statistical Area",661653,847,288811,82,481,90,43.6,597,7,815
"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",2552994,899,1127104,20,1503,24,44.1,586,6,870
"Bangor, ME, Metropolitan Statistical Area",144919,666,48809,354,132,360,33.7,813,9,729
"Baraboo, WI, Micropolitan Statistical Area",55225,380,35810,449,77,617,64.8,172,14,473
"Bardstown, KY, Micropolitan Statistical Area",37477,211,24080,588,57,749,64.3,180,15,400
"Barnstable Town, MA, Metropolitan Statistical Area",222230,736,95326,198,133,356,42.9,620,6,865
"Barre, VT, Micropolitan Statistical Area",58039,397,24608,578,80,591,42.4,631,14,483
"Bartlesville, OK, Micropolitan Statistical Area",48996,340,37843,430,72,645,77.2,51,15,432
"Bastrop, LA, Micropolitan Statistical Area",31021,127,15564,776,71,649,50.2,446,23,105
"Batavia, NY, Micropolitan Statistical Area",60370,410,35592,452,70,661,59.0,264,12,585
"Batesville, AR, Micropolitan Statistical Area",34233,168,22033,635,112,421,64.4,178,33,7
"Baton Rouge, LA, Metropolitan Statistical Area",705973,850,366676,66,503,85,51.9,395,7,823
"Battle Creek, MI, Metropolitan Statistical Area",137985,648,45533,371,128,372,33.0,824,9,723
"Bay City, MI, Metropolitan Statistical Area",110157,585,65783,271,89,514,59.7,255,8,787
"Bay City, TX, Micropolitan Statistical Area",37957,220,23928,591,64,701,63.0,199,17,305
"Beatrice, NE, Micropolitan Statistical Area",22993,56,16917,748,57,753,73.6,83,25,64
"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",400162,804,254018,89,420,106,63.5,189,10,647
"Beaver Dam, WI, Micropolitan Statistical Area",85897,513,54526,321,118,407,63.5,190,14,484
"Beckley, WV, Metropolitan Statistical Area",126799,628,34253,464,250,180,27.0,885,20,188
"Bedford, IN, Micropolitan Statistical Area",45922,313,21501,649,88,527,46.8,518,19,206
"Beeville, TX, Micropolitan Statistical Area",32359,138,13795,813,48,800,42.6,625,15,428
"Bellefontaine, OH, Micropolitan Statistical Area",46005,315,17760,730,82,580,38.6,716,18,260
"Bellingham, WA, Metropolitan Statistical Area",166826,693,48995,353,145,321,29.4,863,9,755
"Bemidji, MN, Micropolitan Statistical Area",39650,244,18715,710,52,786,47.2,510,13,513
"Bend-Redmond, OR, Metropolitan Statistical Area",115367,600,31000,496,94,486,26.9,886,8,784
"Bennettsville, SC, Micropolitan Statistical Area",28818,107,11426,857,66,686,39.6,690,23,104
"Bennington, VT, Micropolitan Statistical Area",36994,204,16626,752,53,782,44.9,563,14,448
"Berlin, NH-VT, Micropolitan Statistical Area",39570,243,23143,611,63,710,58.5,271,16,358
"Big Rapids, MI, Micropolitan Statistical Area",40553,257,11007,864,52,785,27.1,883,13,529
"Big Spring, TX, Micropolitan Statistical Area",35033,180,23472,602,62,718,67.0,144,18,268
