1971 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",42468,384,30990,396,66,504,73.0,82,16,309
"Aberdeen, WA, Micropolitan Statistical Area",59553,501,15007,675,52,640,25.2,874,9,711
"Abilene, TX, Metropolitan Statistical Area",122164,698,68796,199,167,190,56.3,312,14,419
"Ada, OK, Micropolitan Statistical Area",27867,211,16875,625,56,595,60.6,243,20,149
"Adrian, MI, Micropolitan Statistical Area",81609,593,35291,361,90,357,43.2,606,11,584
"Akron, OH, Metropolitan Statistical Area",679239,866,287878,61,362,76,42.4,622,5,860
"Alamogordo, NM, Micropolitan Statistical Area",41097,371,18688,593,43,715,45.5,560,10,615
"Albany, GA, Metropolitan Statistical Area",126744,704,48095,278,134,241,37.9,731,11,610
"Albany, OR, Metropolitan Statistical Area",71914,556,21417,527,84,384,29.8,839,12,546
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",746660,871,423824,38,526,47,56.8,300,7,792
"Albemarle, NC, Micropolitan Statistical Area",42822,387,29627,409,108,299,69.2,118,25,54
"Albert Lea, MN, Micropolitan Statistical Area",38064,343,30995,395,50,659,81.4,34,13,455
"Albertville, AL, Micropolitan Statistical Area",54211,468,32853,381,123,269,60.6,241,23,88
"Albuquerque, NM, Metropolitan Statistical Area",379095,839,238433,67,239,119,62.9,193,6,829
"Alexandria, LA, Metropolitan Statistical Area",131749,711,76170,181,205,144,57.8,280,16,307
"Alexandria, MN, Micropolitan Statistical Area",22892,140,19166,579,48,678,83.7,27,21,128
"Alice, TX, Micropolitan Statistical Area",33032,272,21991,518,37,757,66.6,151,11,573
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",594124,857,407612,42,571,42,68.6,124,10,658
"Alma, MI, Micropolitan Statistical Area",39246,353,17809,605,60,558,45.4,563,15,325
"Alpena, MI, Micropolitan Statistical Area",30708,249,23751,487,35,781,77.3,59,11,561
"Altoona, PA, Metropolitan Statistical Area",135356,717,78539,177,165,192,58.0,275,12,521
"Altus, OK, Micropolitan Statistical Area",30902,252,16090,651,38,753,52.1,410,12,506
"Amarillo, TX, Metropolitan Statistical Area",154907,738,97341,148,123,270,62.8,194,8,750
"Americus, GA, Micropolitan Statistical Area",30028,239,12274,749,44,712,40.9,661,15,357
"Ames, IA, Metropolitan Statistical Area",62783,521,33060,378,62,540,52.7,391,10,645
"Amsterdam, NY, Micropolitan Statistical Area",55883,478,36242,353,64,518,64.9,174,11,558
"Anchorage, AK, Metropolitan Statistical Area",131051,710,53971,252,89,365,41.2,655,7,804
"Andrews, TX, Micropolitan Statistical Area",10372,18,6810,862,13,888,65.7,160,13,491
"Angola, IN, Micropolitan Statistical Area",20159,103,7473,853,30,814,37.1,747,15,347
"Ann Arbor, MI, Metropolitan Statistical Area",234103,788,79841,176,125,266,34.1,782,5,859
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",103092,661,51410,262,152,207,49.9,468,15,353
"Appleton, WI, Metropolitan Statistical Area",146960,731,125005,120,123,268,85.1,23,8,730
"Arcadia, FL, Micropolitan Statistical Area",13060,33,5329,881,25,845,40.8,662,19,182
"Ardmore, OK, Micropolitan Statistical Area",37349,330,22757,504,59,571,60.9,232,16,292
"Arkadelphia, AR, Micropolitan Statistical Area",21537,117,11384,775,59,562,52.9,385,27,29
"Arkansas City-Winfield, KS, Micropolitan Statistical Area",35012,293,18608,594,61,549,53.1,373,17,235
"Asheville, NC, Metropolitan Statistical Area",245573,794,150160,106,520,49,61.1,223,21,121
"Ashland, OH, Micropolitan Statistical Area",43303,393,19614,568,62,536,45.3,565,14,373
"Ashtabula, OH, Micropolitan Statistical Area",98237,648,49299,271,106,308,50.2,453,11,596
"Astoria, OR, Micropolitan Statistical Area",28473,217,7935,847,32,796,27.9,857,11,572
"Atchison, KS, Micropolitan Statistical Area",19165,88,12076,756,32,803,63.0,191,17,259
"Athens, OH, Micropolitan Statistical Area",54889,470,18770,591,93,345,34.2,780,17,249
"Athens, TN, Micropolitan Statistical Area",35462,303,26628,449,102,320,75.1,67,29,19
"Athens, TX, Micropolitan Statistical Area",26466,186,11904,762,55,610,45.0,575,21,134
"Athens-Clarke County, GA, Metropolitan Statistical Area",94207,632,38951,336,130,255,41.3,651,14,406
"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",1852235,900,847114,19,1739,7,45.7,556,9,670
"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",175043,756,69022,197,108,302,39.4,699,6,837
"Auburn, IN, Micropolitan Statistical Area",30837,251,20926,539,54,612,67.9,129,18,229
"Auburn, NY, Micropolitan Statistical Area",77439,577,44760,292,88,367,57.8,281,11,564
"Auburn-Opelika, AL, Metropolitan Statistical Area",61268,513,22673,506,69,479,37.0,749,11,570
"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",330905,823,149631,107,380,74,45.2,568,11,556
"Augusta-Waterville, ME, Micropolitan Statistical Area",95247,635,43620,304,101,322,45.8,554,11,606
"Austin, MN, Micropolitan Statistical Area",43783,395,37153,347,54,618,84.9,24,12,504
"Austin-Round Rock, TX, Metropolitan Statistical Area",398938,843,216490,73,357,77,54.3,354,9,696
"Bainbridge, GA, Micropolitan Statistical Area",22310,129,10387,807,44,704,46.6,529,20,156
"Bakersfield, CA, Metropolitan Statistical Area",329162,822,119640,128,223,129,36.3,752,7,806
"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",2089092,902,877149,17,1161,18,42.0,634,6,852
"Bangor, ME, Metropolitan Statistical Area",125393,702,51914,259,117,279,41.4,649,9,674
"Baraboo, WI, Micropolitan Statistical Area",39057,350,30744,400,59,567,78.7,48,15,332
"Bardstown, KY, Micropolitan Statistical Area",23477,146,16638,631,45,697,70.9,102,19,181
"Barnstable Town, MA, Metropolitan Statistical Area",96656,640,48260,276,79,402,49.9,461,8,739
"Barre, VT, Micropolitan Statistical Area",47659,420,24045,482,53,630,50.5,444,11,581
"Bartlesville, OK, Micropolitan Statistical Area",42277,383,29036,420,53,626,68.7,122,13,490
"Bastrop, LA, Micropolitan Statistical Area",32463,267,14160,692,51,648,43.6,596,16,295
"Batavia, NY, Micropolitan Statistical Area",58722,496,34012,369,65,509,57.9,278,11,583
"Batesville, AR, Micropolitan Statistical Area",22723,135,11343,780,63,529,49.9,465,28,23
"Baton Rouge, LA, Metropolitan Statistical Area",467346,851,238552,66,310,91,51.0,433,7,815
"Battle Creek, MI, Metropolitan Statistical Area",141963,724,46827,283,99,327,33.0,802,7,798
"Bay City, MI, Metropolitan Statistical Area",117339,689,81728,174,73,445,69.7,111,6,833
"Bay City, TX, Micropolitan Statistical Area",27913,212,18823,589,48,679,67.4,136,17,238
"Beatrice, NE, Micropolitan Statistical Area",25719,175,18898,587,60,557,73.5,78,23,76
"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",357596,829,217836,71,288,99,60.9,233,8,747
"Beaver Dam, WI, Micropolitan Statistical Area",69004,544,51531,261,86,374,74.7,71,12,494
"Beckley, WV, Metropolitan Statistical Area",119412,693,40180,329,241,118,33.6,792,20,147
"Bedford, IN, Micropolitan Statistical Area",38038,341,19291,573,75,431,50.7,439,20,157
"Beeville, TX, Micropolitan Statistical Area",22737,136,9616,820,32,795,42.3,625,14,388
"Bellefontaine, OH, Micropolitan Statistical Area",35072,294,19183,578,67,489,54.7,346,19,187
"Bellingham, WA, Metropolitan Statistical Area",81950,599,33699,372,78,408,41.1,657,10,664
"Bemidji, MN, Micropolitan Statistical Area",26373,184,13166,719,33,791,49.9,464,13,492
"Bend-Redmond, OR, Metropolitan Statistical Area",30442,241,9116,829,34,783,29.9,837,11,575
"Bennettsville, SC, Micropolitan Statistical Area",27151,200,10907,796,59,564,40.2,676,22,110
"Bennington, VT, Micropolitan Statistical Area",29282,231,14594,684,36,771,49.8,469,12,507
"Berlin, NH-VT, Micropolitan Statistical Area",39707,359,24243,479,60,561,61.1,229,15,331
"Big Rapids, MI, Micropolitan Statistical Area",27992,213,11348,778,38,750,40.5,670,14,428
"Big Spring, TX, Micropolitan Statistical Area",38951,347,24384,477,55,608,62.6,196,14,383
"Big Stone Gap, VA, Micropolitan Statistical Area",56025,479,13130,720,73,446,23.4,886,13,462
