1952 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Bozeman, MT, Micropolitan Statistical Area",21902,165,8139,771,28,806,37.2,636,13,632
"Bradford, PA, Micropolitan Statistical Area",56607,556,28356,321,96,333,50.1,315,17,400
"Brainerd, MN, Micropolitan Statistical Area",50343,519,20096,430,94,340,39.9,563,19,309
"Branson, MO, Micropolitan Statistical Area",19611,130,3056,879,35,772,15.6,900,18,354
"Breckenridge, CO, Micropolitan Statistical Area",1135,1,148,908,2,905,13.0,906,18,371
"Bremerton-Silverdale, WA, Metropolitan Statistical Area",75724,627,19395,440,71,481,25.6,836,9,788
"Brenham, TX, Micropolitan Statistical Area",20542,141,28727,317,38,749,139.8,2,18,322
"Brevard, NC, Micropolitan Statistical Area",15194,75,7348,793,48,668,48.4,356,32,32
"Bridgeport-Stamford-Norwalk, CT, Metropolitan Statistical Area",504342,864,299148,36,309,87,59.3,162,6,879
"Brookhaven, MS, Micropolitan Statistical Area",27899,252,14362,577,63,543,51.5,287,23,166
"Brookings, OR, Micropolitan Statistical Area",6048,17,1028,903,15,873,17.0,896,25,119
"Brookings, SD, Micropolitan Statistical Area",17851,98,10105,706,42,725,56.6,203,24,148
"Brownsville-Harlingen, TX, Metropolitan Statistical Area",125170,741,133540,85,80,411,106.7,5,6,873
"Brownwood, TX, Micropolitan Statistical Area",28607,269,16034,524,63,539,56.0,213,22,182
"Brunswick, GA, Metropolitan Statistical Area",41441,426,10698,691,65,521,25.8,833,16,481
"Bucyrus, OH, Micropolitan Statistical Area",38738,394,24294,369,90,357,62.7,125,23,152
"Buffalo-Cheektowaga-Niagara Falls, NY, Metropolitan Statistical Area",1089230,890,808276,12,698,28,74.2,45,6,872
"Burley, ID, Micropolitan Statistical Area",24414,213,16674,512,23,827,68.3,86,9,784
"Burlington, IA-IL, Micropolitan Statistical Area",50472,520,25859,348,76,443,51.2,289,15,511
"Burlington, NC, Metropolitan Statistical Area",71220,613,33981,281,137,230,47.7,373,19,282
"Burlington-South Burlington, VT, Metropolitan Statistical Area",95870,692,66153,148,137,232,69.0,80,14,554
"Butte-Silver Bow, MT, Micropolitan Statistical Area",48422,504,24596,366,38,751,50.8,295,8,837
"Cadillac, MI, Micropolitan Statistical Area",26086,234,8844,742,71,483,33.9,705,27,76
"Calhoun, GA, Micropolitan Statistical Area",18922,115,9158,731,58,583,48.4,355,31,42
"California-Lexington Park, MD, Metropolitan Statistical Area",29111,277,14512,571,39,743,49.9,322,13,598
"Cambridge, MD, Micropolitan Statistical Area",27815,251,8778,746,95,338,31.6,746,34,15
"Cambridge, OH, Micropolitan Statistical Area",38452,391,15110,542,82,394,39.3,582,21,204
"Camden, AR, Micropolitan Statistical Area",40183,414,14655,565,86,376,36.5,652,21,202
"Campbellsville, KY, Micropolitan Statistical Area",14403,69,9319,727,44,715,64.7,115,31,45
"Cañon City, CO, Micropolitan Statistical Area",18366,107,7685,785,34,774,41.8,516,19,320
"Canton, IL, Micropolitan Statistical Area",43716,458,14880,554,85,380,34.0,702,19,272
"Canton-Massillon, OH, Metropolitan Statistical Area",302233,841,149322,70,327,83,49.4,332,11,727
"Cape Coral-Fort Myers, FL, Metropolitan Statistical Area",23404,194,7546,788,40,732,32.2,729,17,394
"Cape Girardeau, MO-IL, Metropolitan Statistical Area",69732,606,35600,270,155,198,51.1,291,22,175
"Carbondale-Marion, IL, Metropolitan Statistical Area",86745,663,38909,254,180,157,44.9,445,21,222
"Carlsbad-Artesia, NM, Micropolitan Statistical Area",40640,417,19375,441,51,641,47.7,376,13,642
"Carson City, NV, Metropolitan Statistical Area",4172,6,1672,893,10,884,40.1,558,24,133
"Casper, WY, Metropolitan Statistical Area",31437,308,11843,659,26,819,37.7,620,8,826
"Cedar City, UT, Micropolitan Statistical Area",9642,36,8538,753,2,906,88.6,14,2,904
"Cedar Rapids, IA, Metropolitan Statistical Area",146331,771,69472,141,209,138,47.5,379,14,555
"Cedartown, GA, Micropolitan Statistical Area",30976,302,14170,584,58,579,45.7,422,19,304
"Celina, OH, Micropolitan Statistical Area",28311,265,21473,409,73,467,75.8,41,26,99
"Centralia, IL, Micropolitan Statistical Area",41700,431,20481,424,92,350,49.1,340,22,181
"Centralia, WA, Micropolitan Statistical Area",43755,459,12070,650,65,519,27.6,807,15,519
"Chambersburg-Waynesboro, PA, Metropolitan Statistical Area",75927,628,41345,238,163,183,54.5,240,21,199
"Champaign-Urbana, IL, Metropolitan Statistical Area",135971,759,60943,159,179,160,44.8,448,13,615
"Charleston, WV, Metropolitan Statistical Area",287763,832,77251,130,386,68,26.8,818,13,596
"Charleston-Mattoon, IL, Micropolitan Statistical Area",50824,524,18936,456,93,346,37.3,633,18,334
"Charleston-North Charleston, SC, Metropolitan Statistical Area",217708,807,85039,123,347,75,39.1,594,16,462
"Charlotte-Concord-Gastonia, NC-SC, Metropolitan Statistical Area",714141,881,359580,28,1373,12,50.4,309,19,283
"Charlottesville, VA, Metropolitan Statistical Area",90827,679,41527,236,228,126,45.7,423,25,114
"Chattanooga, TN-GA, Metropolitan Statistical Area",295168,837,134542,82,496,48,45.6,426,17,405
"Cheyenne, WY, Metropolitan Statistical Area",47662,500,23352,377,46,688,49.0,342,10,775
"Chicago-Naperville-Elgin, IL-IN-WI, Metropolitan Statistical Area",5761484,907,3285346,2,2846,2,57.0,195,5,890
"Chico, CA, Metropolitan Statistical Area",64930,584,17822,471,64,536,27.4,809,10,766
"Chillicothe, OH, Micropolitan Statistical Area",54424,549,14693,561,76,442,27.0,816,14,569
"Cincinnati, OH-KY-IN, Metropolitan Statistical Area",1235116,894,593903,19,1247,13,48.1,363,10,755
"Claremont-Lebanon, NH-VT, Micropolitan Statistical Area",132276,750,54638,179,264,110,41.3,531,20,251
"Clarksburg, WV, Micropolitan Statistical Area",112744,728,49557,199,240,122,44.0,467,21,206
"Clarksdale, MS, Micropolitan Statistical Area",49361,511,8764,748,40,739,17.8,891,8,831
"Clarksville, TN-KY, Metropolitan Statistical Area",96228,694,34679,276,192,148,36.0,663,20,252
"Clearlake, CA, Micropolitan Statistical Area",11481,49,2900,880,23,830,25.3,841,20,248
"Cleveland, MS, Micropolitan Statistical Area",63004,576,11636,663,70,488,18.5,889,11,713
"Cleveland, TN, Metropolitan Statistical Area",46412,486,23221,381,150,211,50.0,319,32,24
"Cleveland-Elyria, OH, Metropolitan Statistical Area",1680736,898,889457,9,873,24,52.9,268,5,887
"Clewiston, FL, Micropolitan Statistical Area",6051,18,2239,888,20,844,37.0,641,33,20
"Clinton, IA, Micropolitan Statistical Area",49664,512,27713,329,70,484,55.8,215,14,562
"Clovis, NM, Micropolitan Statistical Area",23351,191,15938,530,49,654,68.3,87,21,216
"Coeur d'Alene, ID, Metropolitan Statistical Area",24947,220,4331,856,27,813,17.4,894,11,726
"Coffeyville, KS, Micropolitan Statistical Area",46487,489,20574,422,82,399,44.3,459,18,368
"Coldwater, MI, Micropolitan Statistical Area",30202,290,8185,766,47,682,27.1,815,16,488
"College Station-Bryan, TX, Metropolitan Statistical Area",71298,614,32190,294,128,249,45.1,440,18,349
"Colorado Springs, CO, Metropolitan Statistical Area",77277,633,30842,300,90,354,39.9,564,12,684
"Columbia, MO, Metropolitan Statistical Area",48432,505,18925,457,62,556,39.1,593,13,631
"Columbia, SC, Metropolitan Statistical Area",271588,826,115822,95,447,56,42.6,500,16,426
"Columbus, GA-AL, Metropolitan Statistical Area",188327,792,51910,189,189,150,27.6,808,10,758
"Columbus, IN, Metropolitan Statistical Area",36108,361,17513,486,67,507,48.5,353,19,316
"Columbus, MS, Micropolitan Statistical Area",37852,378,9545,722,39,746,25.2,842,10,744
"Columbus, NE, Micropolitan Statistical Area",19910,134,17508,488,50,651,87.9,16,25,113
"Columbus, OH, Metropolitan Statistical Area",794489,885,298521,37,880,23,37.6,623,11,716
"Concord, NH, Micropolitan Statistical Area",63022,577,27815,325,88,367,44.1,463,14,570
"Connersville, IN, Micropolitan Statistical Area",23391,193,9518,723,32,792,40.7,542,14,584
"Cookeville, TN, Micropolitan Statistical Area",59783,567,10943,681,114,279,18.3,890,19,292
"Coos Bay, OR, Micropolitan Statistical Area",42265,439,8263,762,52,634,19.6,881,12,652
"Cordele, GA, Micropolitan Statistical Area",17663,95,5700,833,31,795,32.3,728,18,373
"Corinth, MS, Micropolitan Statistical Area",27158,246,7981,774,44,710,29.4,780,16,445
"Cornelia, GA, Micropolitan Statistical Area",16553,85,9413,726,46,693,56.9,199,28,68
"Corning, NY, Micropolitan Statistical Area",91439,683,43788,220,129,248,47.9,367,14,559
"Corpus Christi, TX, Metropolitan Statistical Area",205565,800,158307,66,179,158,77.0,38,9,818
"Corsicana, TX, Micropolitan Statistical Area",39916,411,18517,462,70,489,46.4,408,18,376
"Cortland, NY, Micropolitan Statistical Area",37158,373,17342,493,49,666,46.7,404,13,614
"Corvallis, OR, Metropolitan Statistical Area",31570,312,7579,787,31,794,24.0,854,10,769
"Coshocton, OH, Micropolitan Statistical Area",31141,303,13844,596,82,396,44.5,453,26,86
"Craig, CO, Micropolitan Statistical Area",5946,16,842,905,8,894,14.2,903,13,592
"Crawfordsville, IN, Micropolitan Statistical Area",29122,278,18859,459,79,426,64.8,114,27,77
"Crescent City, CA, Micropolitan Statistical Area",8078,27,2839,881,15,872,35.1,680,19,315
"Crestview-Fort Walton Beach-Destin, FL, Metropolitan Statistical Area",42258,438,13081,618,120,267,31.0,754,28,61
"Crossville, TN, Micropolitan Statistical Area",18877,114,4806,851,50,646,25.5,837,26,83
"Cullman, AL, Micropolitan Statistical Area",49046,509,24705,364,153,202,50.4,308,31,36
"Cullowhee, NC, Micropolitan Statistical Area",19261,125,10566,693,78,432,54.9,231,40,3
"Cumberland, MD-WV, Metropolitan Statistical Area",111889,727,56806,176,183,153,50.8,297,16,435
"Dallas-Fort Worth-Arlington, TX, Metropolitan Statistical Area",1261699,895,620004,17,1617,8,49.1,339,13,630
"Dalton, GA, Metropolitan Statistical Area",45108,472,18851,460,103,312,41.8,517,23,159
"Danville, IL, Metropolitan Statistical Area",87079,666,34337,278,167,176,39.4,577,19,284
"Danville, KY, Micropolitan Statistical Area",39200,404,19353,443,100,318,49.4,333,26,108
"Danville, VA, Micropolitan Statistical Area",101162,706,32790,288,153,200,32.4,725,15,510
"Daphne-Fairhope-Foley, AL, Metropolitan Statistical Area",40997,422,13084,617,106,302,31.9,737,26,95
"Davenport-Moline-Rock Island, IA-IL, Metropolitan Statistical Area",298122,839,135556,81,306,92,45.5,431,10,747
"Dayton, OH, Metropolitan Statistical Area",518642,865,223046,46,443,58,43.0,493,9,823
"Dayton, TN, Micropolitan Statistical Area",16041,81,7409,792,64,528,46.2,415,40,5
"Decatur, AL, Metropolitan Statistical Area",80052,645,31391,296,167,177,39.2,588,21,217
"Decatur, IL, Metropolitan Statistical Area",98853,699,42873,225,93,347,43.4,482,9,786
"Decatur, IN, Micropolitan Statistical Area",22393,176,12860,623,63,545,57.4,187,28,64
"Defiance, OH, Micropolitan Statistical Area",25925,232,16365,519,54,612,63.1,123,21,218
"Del Rio, TX, Micropolitan Statistical Area",16635,86,12557,632,19,853,75.5,43,11,698
"Deltona-Daytona Beach-Ormond Beach, FL, Metropolitan Statistical Area",77596,635,27523,332,121,263,35.5,674,16,487
"Deming, NM, Micropolitan Statistical Area",8753,29,4412,855,12,876,50.4,307,14,583
"Denver-Aurora-Lakewood, CO, Metropolitan Statistical Area",577825,869,238564,42,416,61,41.3,533,7,859
"DeRidder, LA, Micropolitan Statistical Area",17766,96,8193,765,50,653,46.1,417,28,63
"Des Moines-West Des Moines, IA, Metropolitan Statistical Area",295757,838,133717,83,363,71,45.2,435,12,656
"Detroit-Warren-Dearborn, MI, Metropolitan Statistical Area",3170315,903,1432190,7,1421,11,45.2,439,4,893
"Dickinson, ND, Micropolitan Statistical Area",16137,82,12315,641,30,800,76.3,39,19,313
"Dixon, IL, Micropolitan Statistical Area",36451,364,17293,495,58,585,47.4,380,16,465
"Dodge City, KS, Micropolitan Statistical Area",19670,131,11129,673,37,756,56.6,204,19,299
"Dothan, AL, Metropolitan Statistical Area",91095,680,36256,266,216,132,39.8,567,24,140
"Douglas, GA, Micropolitan Statistical Area",23961,207,5343,841,35,769,22.3,867,15,536
"Dover, DE, Metropolitan Statistical Area",37870,379,16916,507,109,295,44.7,449,29,57
"Dublin, GA, Micropolitan Statistical Area",43016,446,17811,473,116,275,41.4,528,27,80
"DuBois, PA, Micropolitan Statistical Area",85957,660,43504,223,213,133,50.6,302,25,120
"Dubuque, IA, Metropolitan Statistical Area",71337,615,52499,186,68,499,73.6,49,10,777
"Duluth, MN-WI, Metropolitan Statistical Area",277361,829,149717,69,349,73,54.0,251,13,640
"Dumas, TX, Micropolitan Statistical Area",13349,62,5033,846,19,849,37.7,619,14,557
"Duncan, OK, Micropolitan Statistical Area",34071,342,16247,520,57,588,47.7,374,17,409
"Dunn, NC, Micropolitan Statistical Area",47605,498,13625,607,66,512,28.6,790,14,574
"Durango, CO, Micropolitan Statistical Area",14880,72,4822,850,24,826,32.4,726,16,452
"Durant, OK, Micropolitan Statistical Area",28999,275,13103,616,81,406,45.2,438,28,66
"Durham-Chapel Hill, NC, Metropolitan Statistical Area",185827,791,66859,146,286,104,36.0,665,15,497
"Dyersburg, TN, Micropolitan Statistical Area",33473,337,13189,614,68,497,39.4,579,20,234
"Eagle Pass, TX, Micropolitan Statistical Area",12292,54,12904,622,10,883,105.0,6,8,830
"East Stroudsburg, PA, Metropolitan Statistical Area",33773,339,16442,517,82,391,48.7,350,24,126
"Easton, MD, Micropolitan Statistical Area",19428,127,8363,759,51,645,43.0,492,26,87
"Eau Claire, WI, Metropolitan Statistical Area",97026,696,58738,165,106,303,60.5,149,11,721
"Edwards, CO, Micropolitan Statistical Area",4488,9,1306,899,10,886,29.1,785,22,174
"Effingham, IL, Micropolitan Statistical Area",21675,163,15918,531,64,527,73.4,51,30,53
"El Campo, TX, Micropolitan Statistical Area",36077,360,23891,372,47,676,66.2,97,13,622
"El Centro, CA, Metropolitan Statistical Area",62975,575,23404,376,58,581,37.2,635,9,798
"El Dorado, AR, Micropolitan Statistical Area",49686,513,21811,401,93,344,43.9,471,19,305
"El Paso, TX, Metropolitan Statistical Area",199266,796,138076,78,106,301,69.3,78,5,886
"Elizabeth City, NC, Micropolitan Statistical Area",39172,403,14658,564,73,463,37.4,629,19,310
"Elizabethtown-Fort Knox, KY, Metropolitan Statistical Area",69690,605,28037,323,127,253,40.2,554,18,335
"Elk City, OK, Micropolitan Statistical Area",21627,160,9603,721,42,726,44.4,455,19,276
"Elkhart-Goshen, IN, Metropolitan Statistical Area",84512,657,44397,216,169,175,52.5,276,20,250
"Elkins, WV, Micropolitan Statistical Area",30558,294,10377,696,87,375,34.0,704,28,59
"Elko, NV, Micropolitan Statistical Area",12550,55,4038,862,18,858,32.2,731,14,552
"Ellensburg, WA, Micropolitan Statistical Area",22235,172,6608,816,28,807,29.7,775,13,638
"Elmira, NY, Metropolitan Statistical Area",86827,665,37899,258,56,594,43.6,476,6,869
"Emporia, KS, Micropolitan Statistical Area",26576,240,12965,620,45,706,48.8,345,17,402
"Enid, OK, Micropolitan Statistical Area",52820,537,27769,327,84,383,52.6,273,16,466
"Enterprise, AL, Micropolitan Statistical Area",30720,299,11900,657,69,494,38.7,600,22,169
"Erie, PA, Metropolitan Statistical Area",219388,808,121659,92,220,128,55.5,222,10,759
"Escanaba, MI, Micropolitan Statistical Area",32913,331,19910,433,49,662,60.5,150,15,517
"Española, NM, Micropolitan Statistical Area",24997,223,18956,454,40,738,75.8,42,16,456
"Eugene, OR, Metropolitan Statistical Area",125776,742,32901,287,145,218,26.2,828,12,693
"Eureka-Arcata-Fortuna, CA, Micropolitan Statistical Area",69241,603,25223,355,83,388,36.4,654,12,668
"Evanston, WY, Micropolitan Statistical Area",7331,26,3817,869,8,890,52.1,281,11,723
"Evansville, IN-KY, Metropolitan Statistical Area",232482,814,101689,105,262,111,43.7,474,11,703
"Fairfield, IA, Micropolitan Statistical Area",15696,79,7345,794,34,775,46.8,402,22,191
"Fairmont, WV, Micropolitan Statistical Area",71521,616,30055,304,99,321,42.0,512,14,576
"Fallon, NV, Micropolitan Statistical Area",6161,20,1609,894,10,885,26.1,829,16,443
"Fargo, ND-MN, Metropolitan Statistical Area",89240,674,57208,174,145,220,64.1,119,16,442
"Faribault-Northfield, MN, Micropolitan Statistical Area",36235,362,23854,373,49,659,65.8,100,14,590
"Farmington, MO, Micropolitan Statistical Area",35276,352,19180,449,73,469,54.4,244,21,225
"Farmington, NM, Metropolitan Statistical Area",18292,105,5539,837,27,812,30.3,767,15,527
"Fayetteville, NC, Metropolitan Statistical Area",111762,726,21702,404,123,260,19.4,882,11,718
"Fayetteville-Springdale-Rogers, AR-MO, Metropolitan Statistical Area",113933,729,35300,273,245,118,31.0,753,22,196
"Fergus Falls, MN, Micropolitan Statistical Area",51320,528,32501,290,121,261,63.3,122,24,143
"Fernley, NV, Micropolitan Statistical Area",3679,5,1492,896,8,892,40.6,548,22,188
"Findlay, OH, Micropolitan Statistical Area",44280,463,15987,529,64,526,36.1,662,14,543
"Fitzgerald, GA, Micropolitan Statistical Area",14879,71,4734,853,22,831,31.8,740,15,524
"Flagstaff, AZ, Metropolitan Statistical Area",23910,206,16004,527,47,673,66.9,93,20,264
"Flint, MI, Metropolitan Statistical Area",270963,825,83442,126,210,137,30.8,759,8,842
