1952 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",39892,410,25588,352,83,387,64.1,118,21,219
"Aberdeen, WA, Micropolitan Statistical Area",53644,544,12101,647,62,553,22.6,866,12,688
"Abilene, TX, Metropolitan Statistical Area",94604,691,36189,268,129,246,38.3,608,14,586
"Ada, OK, Micropolitan Statistical Area",30875,301,14540,569,60,564,47.1,391,19,273
"Adrian, MI, Micropolitan Statistical Area",64629,583,21857,400,90,358,33.8,707,14,572
"Akron, OH, Metropolitan Statistical Area",473986,859,186229,57,346,76,39.3,584,7,855
"Alamogordo, NM, Micropolitan Statistical Area",14909,73,5589,834,17,862,37.5,626,11,699
"Albany, GA, Metropolitan Statistical Area",89914,675,23922,371,109,291,26.6,822,12,662
"Albany, OR, Metropolitan Statistical Area",54317,546,15043,545,80,410,27.7,806,15,528
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",612062,873,348170,30,568,38,56.9,197,9,795
"Albemarle, NC, Micropolitan Statistical Area",37130,370,20313,426,105,306,54.7,235,28,62
"Albert Lea, MN, Micropolitan Statistical Area",34517,345,22641,388,47,677,65.6,104,14,587
"Albertville, AL, Micropolitan Statistical Area",45090,470,17667,479,91,353,39.2,589,20,241
"Albuquerque, NM, Metropolitan Statistical Area",188604,793,159437,64,166,179,84.5,23,9,815
"Alexandria, LA, Metropolitan Statistical Area",104911,715,48445,203,185,152,46.2,416,18,369
"Alexandria, MN, Micropolitan Statistical Area",21304,153,15086,543,53,625,70.8,64,25,116
"Alice, TX, Micropolitan Statistical Area",27991,255,32260,292,26,817,115.3,4,9,793
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",495382,862,315887,35,611,36,63.8,120,12,648
"Alma, MI, Micropolitan Statistical Area",33429,335,10335,698,72,477,30.9,755,22,195
"Alpena, MI, Micropolitan Statistical Area",22189,170,14999,551,35,766,67.6,89,16,476
"Altoona, PA, Metropolitan Statistical Area",139514,762,87385,119,177,163,62.6,126,13,636
"Altus, OK, Micropolitan Statistical Area",20082,136,9047,737,39,747,45.1,441,19,275
"Amarillo, TX, Metropolitan Statistical Area",97879,697,57642,170,110,289,58.9,166,11,705
"Americus, GA, Micropolitan Statistical Area",28244,264,10156,703,45,709,36.0,666,16,464
"Ames, IA, Metropolitan Statistical Area",44294,464,22944,386,65,518,51.8,282,15,533
"Amsterdam, NY, Micropolitan Statistical Area",59594,566,39138,252,72,478,65.7,101,12,663
"Andrews, TX, Micropolitan Statistical Area",5002,12,2617,886,8,891,52.3,277,16,457
"Angola, IN, Micropolitan Statistical Area",17087,90,5275,842,41,728,30.9,757,24,132
"Ann Arbor, MI, Metropolitan Statistical Area",134606,755,54575,180,100,317,40.5,549,7,854
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",79539,643,33076,286,147,214,41.6,522,18,323
"Appleton, WI, Metropolitan Statistical Area",100562,705,84195,124,118,271,83.7,26,12,679
"Arcadia, FL, Micropolitan Statistical Area",9242,34,3341,874,27,814,36.2,661,29,55
"Ardmore, OK, Micropolitan Statistical Area",36455,365,16492,514,65,516,45.2,433,18,355
"Arkadelphia, AR, Micropolitan Statistical Area",22998,187,10767,687,80,416,46.8,400,35,11
"Arkansas City-Winfield, KS, Micropolitan Statistical Area",36905,368,17648,481,62,558,47.8,371,17,406
"Asheville, NC, Metropolitan Statistical Area",213477,805,100207,106,510,45,46.9,397,24,138
"Ashland, OH, Micropolitan Statistical Area",33040,333,19043,451,71,482,57.6,183,21,197
"Ashtabula, OH, Micropolitan Statistical Area",78695,640,36033,269,108,297,45.8,421,14,582
"Astoria, OR, Micropolitan Statistical Area",30776,300,5969,828,33,784,19.4,883,11,732
"Atchison, KS, Micropolitan Statistical Area",21496,156,9965,710,35,773,46.4,411,16,438
"Athens, OH, Micropolitan Statistical Area",45839,478,11809,660,108,298,25.8,834,24,146
"Athens, TN, Micropolitan Statistical Area",32024,321,17551,484,102,313,54.8,232,32,27
"Athens, TX, Micropolitan Statistical Area",23405,195,8522,754,47,681,36.4,655,20,246
"Athens-Clarke County, GA, Metropolitan Statistical Area",65755,590,27345,337,128,250,41.6,521,19,270
"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",1091223,891,482558,20,1596,9,44.2,461,15,535
"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",132399,751,69589,140,115,277,52.6,274,9,820
"Auburn, IN, Micropolitan Statistical Area",26023,233,12085,648,62,554,46.4,407,24,139
"Auburn, NY, Micropolitan Statistical Area",70136,609,41944,230,98,329,59.8,153,14,567
"Auburn-Opelika, AL, Metropolitan Statistical Area",45073,469,12834,624,53,628,28.5,794,12,677
"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",229492,811,88900,115,349,74,38.7,599,15,504
"Augusta-Waterville, ME, Micropolitan Statistical Area",83881,656,37753,260,108,296,45.0,442,13,624
"Austin, MN, Micropolitan Statistical Area",42277,440,27427,336,51,637,64.9,113,12,664
"Austin-Round Rock, TX, Metropolitan Statistical Area",256645,822,122357,91,360,72,47.7,375,14,564
"Bainbridge, GA, Micropolitan Statistical Area",23620,200,8274,761,54,623,35.0,683,23,158
"Bakersfield, CA, Metropolitan Statistical Area",228309,810,75103,134,196,145,32.9,720,9,822
"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",1471760,897,727547,15,1069,17,49.4,331,7,857
"Bangor, ME, Metropolitan Statistical Area",108198,720,39954,246,125,257,36.9,646,12,690
"Baraboo, WI, Micropolitan Statistical Area",38120,382,22338,393,75,453,58.6,170,20,263
"Bardstown, KY, Micropolitan Statistical Area",19521,128,13783,600,33,785,70.6,66,17,403
"Barnstable Town, MA, Metropolitan Statistical Area",46805,493,20735,420,83,390,44.3,458,18,362
"Barre, VT, Micropolitan Statistical Area",42870,445,21329,411,62,555,49.8,323,14,542
"Bartlesville, OK, Micropolitan Statistical Area",32880,330,17031,501,48,672,51.8,283,15,537
"Bastrop, LA, Micropolitan Statistical Area",32038,322,9098,735,55,609,28.4,796,17,390
"Batavia, NY, Micropolitan Statistical Area",47584,496,28932,315,64,529,60.8,146,13,593
"Batesville, AR, Micropolitan Statistical Area",23488,196,8504,756,60,573,36.2,659,26,106
"Baton Rouge, LA, Metropolitan Statistical Area",299321,840,144876,75,300,97,48.4,354,10,760
"Battle Creek, MI, Metropolitan Statistical Area",120813,735,29177,312,85,381,24.2,852,7,861
"Bay City, MI, Metropolitan Statistical Area",88461,672,60477,161,72,476,68.4,85,8,829
"Bay City, TX, Micropolitan Statistical Area",21559,158,12029,653,49,660,55.8,216,23,162
"Beatrice, NE, Micropolitan Statistical Area",28052,257,16762,509,58,587,59.8,155,21,226
"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",266017,823,157926,67,286,103,59.4,161,11,730
"Beaver Dam, WI, Micropolitan Statistical Area",57611,560,40966,240,93,348,71.1,60,16,450
"Beckley, WV, Metropolitan Statistical Area",178716,789,39568,247,290,101,22.1,869,16,444
"Bedford, IN, Micropolitan Statistical Area",34346,344,12339,639,60,566,35.9,667,17,378
"Beeville, TX, Micropolitan Statistical Area",18174,102,16605,513,33,780,91.4,10,18,339
"Bellefontaine, OH, Micropolitan Statistical Area",31329,305,14161,586,70,485,45.2,436,22,170
"Bellingham, WA, Metropolitan Statistical Area",66733,594,23278,379,82,397,34.9,689,12,655
"Bemidji, MN, Micropolitan Statistical Area",24962,221,10142,704,46,691,40.6,546,18,325
"Bend-Redmond, OR, Metropolitan Statistical Area",21812,164,4271,857,26,818,19.6,880,12,671
"Bennettsville, SC, Micropolitan Statistical Area",31766,316,9937,712,68,500,31.3,748,21,201
"Bennington, VT, Micropolitan Statistical Area",24115,209,13643,606,42,724,56.6,205,17,380
"Berlin, NH-VT, Micropolitan Statistical Area",42189,437,24360,368,67,504,57.7,181,16,469
"Big Rapids, MI, Micropolitan Statistical Area",18968,117,6000,827,40,735,31.6,744,21,212
"Big Spring, TX, Micropolitan Statistical Area",27811,250,14029,590,45,704,50.4,305,16,447
"Big Stone Gap, VA, Micropolitan Statistical Area",79729,644,13845,595,83,386,17.4,893,10,743
"Billings, MT, Metropolitan Statistical Area",67453,598,33866,282,88,365,50.2,311,13,621
"Binghamton, NY, Metropolitan Statistical Area",214864,806,102241,104,203,141,47.6,377,9,781
"Birmingham-Hoover, AL, Metropolitan Statistical Area",753630,882,283711,39,1216,15,37.6,622,16,451
"Bismarck, ND, Metropolitan Statistical Area",51755,532,33856,283,106,300,65.4,107,20,230
"Blackfoot, ID, Micropolitan Statistical Area",23271,190,15999,528,18,855,68.8,82,8,843
"Blacksburg-Christiansburg-Radford, VA, Metropolitan Statistical Area",96871,695,36357,265,288,102,37.5,624,30,50
"Bloomington, IL, Metropolitan Statistical Area",93471,687,50775,196,142,225,54.3,246,15,505
"Bloomington, IN, Metropolitan Statistical Area",61843,572,19007,453,97,331,30.7,763,16,482
"Bloomsburg-Berwick, PA, Metropolitan Statistical Area",69461,604,40688,242,146,217,58.6,172,21,214
"Bluefield, WV-VA, Micropolitan Statistical Area",122525,738,42285,226,266,109,34.5,693,22,190
"Blytheville, AR, Micropolitan Statistical Area",82375,653,21506,407,99,324,26.1,830,12,665
"Bogalusa, LA, Micropolitan Statistical Area",38371,388,14368,576,47,674,37.4,628,12,658
"Boise City, ID, Metropolitan Statistical Area",141059,763,42139,227,150,212,29.9,772,11,735
"Boone, IA, Micropolitan Statistical Area",28139,258,13720,602,57,590,48.8,347,20,239
"Boone, NC, Micropolitan Statistical Area",18342,106,12582,631,91,352,68.6,83,50,1
"Borger, TX, Micropolitan Statistical Area",31580,314,14634,567,34,777,46.3,412,11,729
"Boston-Cambridge-Newton, MA-NH, Metropolitan Statistical Area",3186970,904,2091185,4,1720,6,65.6,102,5,885
"Boulder, CO, Metropolitan Statistical Area",48296,503,22706,387,64,531,47.0,393,13,612
"Bowling Green, KY, Metropolitan Statistical Area",77230,632,30087,303,171,170,39.0,596,22,177
