1916 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Batesville, AR, Micropolitan Statistical Area",24776,328,7557,644,0,528,30.5,696,0,674
"Baton Rouge, LA, Metropolitan Statistical Area",180649,832,73566,72,0,288,40.7,447,0,694
"Battle Creek, MI, Metropolitan Statistical Area",56638,659,15877,364,0,433,28.0,731,0,779
"Bay City, MI, Metropolitan Statistical Area",68238,712,35424,155,0,595,51.9,161,0,603
"Bay City, TX, Micropolitan Statistical Area",13594,137,5238,735,0,801,38.5,514,0,11
"Beatrice, NE, Micropolitan Statistical Area",30325,428,11054,513,0,7,36.5,570,0,234
"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",71507,719,27651,216,0,778,38.7,511,0,886
"Beaver Dam, WI, Micropolitan Statistical Area",47436,598,26003,231,0,823,54.8,117,0,468
"Beckley, WV, Metropolitan Statistical Area",77536,733,18297,319,0,253,23.6,805,0,152
"Bedford, IN, Micropolitan Statistical Area",30625,437,11150,509,0,890,36.4,571,0,238
"Beeville, TX, Micropolitan Statistical Area",12090,115,8793,600,0,354,72.7,26,0,105
"Bellefontaine, OH, Micropolitan Statistical Area",30084,420,14557,394,0,545,48.4,226,0,798
"Bellingham, WA, Metropolitan Statistical Area",49511,617,12120,476,0,791,24.5,790,0,92
"Bemidji, MN, Micropolitan Statistical Area",19337,230,5455,726,0,774,28.2,729,0,773
"Bend-Redmond, OR, Metropolitan Statistical Area",0,2,942,876,0,435,,894,,894
"Bennettsville, SC, Micropolitan Statistical Area",31189,450,14654,390,0,533,47.0,265,0,38
"Bennington, VT, Micropolitan Statistical Area",21378,266,9653,574,0,250,45.2,317,0,245
"Berlin, NH-VT, Micropolitan Statistical Area",38137,532,19213,305,0,197,50.4,190,0,690
"Big Rapids, MI, Micropolitan Statistical Area",19466,234,4483,760,0,876,23.0,813,0,184
"Big Spring, TX, Micropolitan Statistical Area",10024,86,2403,834,0,267,24.0,798,0,124
"Big Stone Gap, VA, Micropolitan Statistical Area",43361,568,6266,691,0,669,14.5,868,0,403
"Billings, MT, Metropolitan Statistical Area",36906,523,8115,623,0,446,22.0,821,0,216
"Binghamton, NY, Metropolitan Statistical Area",104433,779,53000,101,0,404,50.8,182,0,666
"Birmingham-Hoover, AL, Metropolitan Statistical Area",378587,867,177016,34,0,136,46.8,272,0,66
"Bismarck, ND, Metropolitan Statistical Area",41953,561,17705,329,0,293,42.2,406,0,571
"Blackfoot, ID, Micropolitan Statistical Area",23306,302,9253,582,0,282,39.7,477,0,784
"Blacksburg-Christiansburg-Radford, VA, Metropolitan Statistical Area",64431,694,22248,263,0,30,34.5,623,0,446
"Bloomington, IL, Metropolitan Statistical Area",86914,754,36807,150,0,580,42.3,402,0,559
"Bloomington, IN, Metropolitan Statistical Area",37479,525,14357,401,0,566,38.3,520,0,35
