1980 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",42121,330,31026,453,77,560,73.7,86,18,273
"Aberdeen, WA, Micropolitan Statistical Area",66314,487,16981,714,79,538,25.6,898,12,602
"Abilene, TX, Metropolitan Statistical Area",139192,695,93728,174,234,169,67.3,169,17,338
"Ada, OK, Micropolitan Statistical Area",32598,204,22555,583,82,516,69.2,142,25,77
"Adrian, MI, Micropolitan Statistical Area",89948,581,36508,396,100,417,40.6,702,11,653
"Akron, OH, Metropolitan Statistical Area",660328,861,308346,64,416,87,46.7,576,6,868
"Alamogordo, NM, Micropolitan Statistical Area",44665,355,20668,628,65,654,46.3,588,15,471
"Albany, GA, Metropolitan Statistical Area",146291,703,59479,263,158,260,40.7,700,11,669
"Albany, OR, Metropolitan Statistical Area",89495,579,30625,459,123,336,34.2,815,14,519
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",771290,868,437145,47,563,61,56.7,356,7,829
"Albemarle, NC, Micropolitan Statistical Area",48517,377,33906,420,118,354,69.9,130,24,98
"Albert Lea, MN, Micropolitan Statistical Area",36329,254,31201,451,53,739,85.9,16,15,469
"Albertville, AL, Micropolitan Statistical Area",65622,482,40483,369,161,253,61.7,250,25,94
"Albuquerque, NM, Metropolitan Statistical Area",523105,846,284709,67,340,111,54.4,404,6,863
"Alexandria, LA, Metropolitan Statistical Area",151985,713,84768,191,233,170,55.8,374,15,424
"Alexandria, MN, Micropolitan Statistical Area",27839,148,20738,627,50,764,74.5,76,18,292
"Alice, TX, Micropolitan Statistical Area",36498,260,21305,610,43,805,58.4,315,12,606
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",635481,856,434687,48,624,52,68.4,155,10,720
"Alma, MI, Micropolitan Statistical Area",40448,310,16724,722,58,704,41.3,689,14,481
