2010 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",40602,232,31063,499,94,587,76.5,26,23,159
"Aberdeen, WA, Micropolitan Statistical Area",72797,450,21650,649,105,534,29.7,847,14,559
"Abilene, TX, Metropolitan Statistical Area",165252,673,104476,202,296,192,63.2,154,18,368
"Ada, OK, Micropolitan Statistical Area",37492,192,21657,648,103,542,57.8,251,27,62
"Adrian, MI, Micropolitan Statistical Area",99892,539,37108,432,129,450,37.1,733,13,629
"Akron, OH, Metropolitan Statistical Area",703200,844,299413,87,622,94,42.6,608,9,817
"Alamogordo, NM, Micropolitan Statistical Area",63797,412,25900,576,94,582,40.6,658,15,545
"Albany, GA, Metropolitan Statistical Area",157308,661,81294,243,260,219,51.7,389,17,436
"Albany, OR, Metropolitan Statistical Area",116672,582,32118,489,156,384,27.5,876,13,605
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",870716,858,372819,72,704,77,42.8,600,8,833
"Albemarle, NC, Micropolitan Statistical Area",60585,392,40708,405,150,388,67.2,102,25,112
"Albert Lea, MN, Micropolitan Statistical Area",31255,117,26382,567,62,776,84.4,7,20,282
"Albertville, AL, Micropolitan Statistical Area",93019,518,60942,300,216,273,65.5,125,23,154
"Albuquerque, NM, Metropolitan Statistical Area",887077,859,408086,66,623,92,46.0,527,7,883
"Alexandria, LA, Metropolitan Statistical Area",153922,654,103263,203,315,179,67.1,104,20,256
"Alexandria, MN, Micropolitan Statistical Area",36009,164,25307,583,64,767,70.3,72,18,374
"Alice, TX, Micropolitan Statistical Area",40838,236,26717,561,53,819,65.4,126,13,627
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",821173,851,411322,65,745,74,50.1,429,9,805
"Alma, MI, Micropolitan Statistical Area",42476,256,13269,829,79,691,31.2,829,19,331
"Alpena, MI, Micropolitan Statistical Area",29598,111,15892,771,48,842,53.7,338,16,456
"Altoona, PA, Metropolitan Statistical Area",127089,600,66633,287,222,269,52.4,368,17,390
"Altus, OK, Micropolitan Statistical Area",26446,81,14706,800,58,793,55.6,294,22,199
"Amarillo, TX, Metropolitan Statistical Area",251933,737,171816,136,308,184,68.2,93,12,662
"Americus, GA, Micropolitan Statistical Area",37829,196,19467,694,73,726,51.5,393,19,303
"Ames, IA, Metropolitan Statistical Area",89542,508,43961,390,111,510,49.1,461,12,654
"Amsterdam, NY, Micropolitan Statistical Area",50219,327,21942,643,73,724,43.7,585,15,554
"Anchorage, AK, Metropolitan Statistical Area",380821,785,129460,174,442,135,34.0,799,12,693
"Andrews, TX, Micropolitan Statistical Area",14786,8,8793,895,29,908,59.5,213,20,290
"Angola, IN, Micropolitan Statistical Area",34185,147,11509,858,53,822,33.7,803,16,491
"Ann Arbor, MI, Metropolitan Statistical Area",344791,770,113196,189,273,210,32.8,810,8,840
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",118572,586,84615,234,281,202,71.4,59,24,137
"Appleton, WI, Metropolitan Statistical Area",225666,723,151832,151,170,347,67.3,101,8,865
