2010 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Arcadia, FL, Micropolitan Statistical Area",34862,154,14282,810,57,799,41.0,647,16,446
"Ardmore, OK, Micropolitan Statistical Area",47557,310,32137,487,125,462,67.6,97,26,86
"Arkadelphia, AR, Micropolitan Statistical Area",22995,53,15623,779,84,650,67.9,96,37,5
"Arkansas City-Winfield, KS, Micropolitan Statistical Area",36311,170,17509,732,83,663,48.2,482,23,170
"Asheville, NC, Metropolitan Statistical Area",424858,800,232538,106,765,72,54.7,312,18,357
"Ashland, OH, Micropolitan Statistical Area",53139,352,23221,616,110,513,43.7,584,21,246
"Ashtabula, OH, Micropolitan Statistical Area",101497,544,36683,437,160,372,36.1,751,16,474
"Astoria, OR, Micropolitan Statistical Area",37039,182,10202,885,56,803,27.5,875,15,515
"Atchison, KS, Micropolitan Statistical Area",16924,16,9130,892,34,902,53.9,335,20,273
"Athens, OH, Micropolitan Statistical Area",64757,420,13103,833,97,568,20.2,916,15,522
"Athens, TN, Micropolitan Statistical Area",52266,343,39071,422,144,404,74.8,36,28,59
"Athens, TX, Micropolitan Statistical Area",78532,473,40050,411,158,375,51.0,401,20,270
"Athens-Clarke County, GA, Metropolitan Statistical Area",192541,698,76233,254,224,268,39.6,678,12,691
"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",5286728,909,2629156,7,4529,7,49.7,441,9,822
"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",274549,751,117189,184,231,260,42.7,605,8,825
"Auburn, IN, Micropolitan Statistical Area",42223,251,17165,739,76,710,40.7,654,18,359
"Auburn, NY, Micropolitan Statistical Area",80026,475,34056,465,86,640,42.6,609,11,734
"Auburn-Opelika, AL, Metropolitan Statistical Area",140247,628,56996,323,175,339,40.6,656,12,649
"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",564873,824,298157,88,789,71,52.8,357,14,574
"Augusta-Waterville, ME, Micropolitan Statistical Area",122151,590,39052,423,144,405,32.0,821,12,680
"Austin, MN, Micropolitan Statistical Area",39163,216,25984,573,68,745,66.3,112,17,402
"Austin-Round Rock, TX, Metropolitan Statistical Area",1716289,883,753806,39,1266,46,43.9,578,7,870
"Bainbridge, GA, Micropolitan Statistical Area",27842,90,17348,735,88,625,62.3,166,32,16
"Bakersfield, CA, Metropolitan Statistical Area",839631,855,403182,67,615,97,48.0,488,7,871
"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",2710489,898,1140499,22,2160,22,42.1,624,8,837
"Bangor, ME, Metropolitan Statistical Area",153923,655,37055,433,177,334,24.1,901,11,698
"Baraboo, WI, Micropolitan Statistical Area",61976,403,31295,495,81,679,50.5,422,13,625
"Bardstown, KY, Micropolitan Statistical Area",43437,263,23613,606,67,749,54.4,324,15,499
"Barnstable Town, MA, Metropolitan Statistical Area",215888,719,115360,186,167,354,53.4,345,8,850
"Barre, VT, Micropolitan Statistical Area",59534,383,20984,662,89,610,35.2,768,15,523
"Bartlesville, OK, Micropolitan Statistical Area",50976,333,35793,441,99,562,70.2,73,19,301
"Bastrop, LA, Micropolitan Statistical Area",27979,91,16480,756,80,690,58.9,225,29,40
"Batavia, NY, Micropolitan Statistical Area",60079,387,26423,566,77,702,44.0,576,13,631
"Batesville, AR, Micropolitan Statistical Area",36647,174,21239,657,107,526,58.0,246,29,33
"Baton Rouge, LA, Metropolitan Statistical Area",802484,849,480656,57,814,67,59.9,202,10,753
"Battle Creek, MI, Metropolitan Statistical Area",136146,619,44389,389,174,340,32.6,812,13,636
"Bay City, MI, Metropolitan Statistical Area",107771,561,57623,317,104,537,53.5,342,10,776
"Bay City, TX, Micropolitan Statistical Area",36702,177,22247,634,86,637,60.6,188,23,148
"Beatrice, NE, Micropolitan Statistical Area",22311,41,15751,775,59,786,70.6,71,26,79
"Beaumont-Port Arthur, TX, Metropolitan Statistical Area",403190,788,281993,93,657,85,69.9,75,16,451
"Beaver Dam, WI, Micropolitan Statistical Area",88759,502,44822,383,109,519,50.5,421,12,658
"Beckley, WV, Metropolitan Statistical Area",124898,594,39251,419,282,201,31.4,828,23,178
"Bedford, IN, Micropolitan Statistical Area",46134,291,20238,678,97,571,43.9,580,21,234
"Beeville, TX, Micropolitan Statistical Area",31861,125,22994,623,52,825,72.2,53,16,449
"Bellefontaine, OH, Micropolitan Statistical Area",45858,286,14600,804,87,627,31.8,822,19,321
"Bellingham, WA, Metropolitan Statistical Area",201140,706,58182,312,185,317,28.9,858,9,800
"Bemidji, MN, Micropolitan Statistical Area",44442,272,18975,705,68,747,42.7,604,15,505
"Bend-Redmond, OR, Metropolitan Statistical Area",157733,662,40314,407,146,400,25.6,891,9,796
"Bennettsville, SC, Micropolitan Statistical Area",28933,103,10817,871,80,685,37.4,727,28,58
"Bennington, VT, Micropolitan Statistical Area",37125,188,12930,837,51,830,34.8,780,14,586
"Berlin, NH-VT, Micropolitan Statistical Area",39361,219,17112,741,63,774,43.5,589,16,465
"Big Rapids, MI, Micropolitan Statistical Area",42798,259,13098,834,59,788,30.6,839,14,583
"Big Spring, TX, Micropolitan Statistical Area",36238,167,20539,672,70,741,56.7,278,19,302
"Big Stone Gap, VA, Micropolitan Statistical Area",61313,399,16144,767,141,416,26.3,882,23,166
"Billings, MT, Metropolitan Statistical Area",158934,664,62275,299,199,294,39.2,689,13,648
"Binghamton, NY, Metropolitan Statistical Area",251725,736,121049,183,301,188,48.1,487,12,673
"Birmingham-Hoover, AL, Metropolitan Statistical Area",1128047,869,800800,34,2158,23,71.0,66,19,312
"Bismarck, ND, Metropolitan Statistical Area",114778,577,78479,251,133,438,68.4,91,12,696
"Blackfoot, ID, Micropolitan Statistical Area",45607,284,31043,501,101,554,68.1,95,22,194
"Blacksburg-Christiansburg-Radford, VA, Metropolitan Statistical Area",178237,687,67982,282,394,147,38.1,705,22,195
"Bloomington, IL, Metropolitan Statistical Area",186133,694,88271,224,213,278,47.4,500,11,699
"Bloomington, IN, Metropolitan Statistical Area",159549,666,47071,372,194,301,29.5,853,12,666
"Bloomsburg-Berwick, PA, Metropolitan Statistical Area",85562,495,39227,420,157,378,45.8,530,18,342
"Bluefield, WV-VA, Micropolitan Statistical Area",107342,555,42935,393,307,185,40.0,671,29,39
"Blytheville, AR, Micropolitan Statistical Area",46480,295,31145,497,131,444,67.0,105,28,48
"Bogalusa, LA, Micropolitan Statistical Area",47168,306,27273,549,109,517,57.8,248,23,160
"Boise City, ID, Metropolitan Statistical Area",616561,833,260197,97,621,96,42.2,620,10,757
"Boone, IA, Micropolitan Statistical Area",26306,78,14008,815,48,844,53.3,346,18,346
"Boone, NC, Micropolitan Statistical Area",51079,334,21427,653,94,584,41.9,629,18,339
"Borger, TX, Micropolitan Statistical Area",22150,40,15161,783,58,792,68.4,89,26,87
"Boston-Cambridge-Newton, MA-NH, Metropolitan Statistical Area",4552402,908,2584189,8,2680,15,56.8,276,6,908
"Boulder, CO, Metropolitan Statistical Area",294567,756,122268,180,233,257,41.5,637,8,841
"Bowling Green, KY, Metropolitan Statistical Area",158599,663,78400,252,264,214,49.4,452,17,435
"Bozeman, MT, Micropolitan Statistical Area",89513,507,28911,527,108,521,32.3,818,12,670
"Bradford, PA, Micropolitan Statistical Area",43450,264,20567,670,87,630,47.3,502,20,274
"Brainerd, MN, Micropolitan Statistical Area",91067,511,44555,388,142,410,48.9,465,16,488
"Branson, MO, Micropolitan Statistical Area",83877,492,28776,531,129,448,34.3,795,15,503
"Breckenridge, CO, Micropolitan Statistical Area",27994,92,5879,911,27,909,21.0,913,10,777
"Bremerton-Silverdale, WA, Metropolitan Statistical Area",251133,734,66031,289,207,283,26.3,883,8,828
"Brenham, TX, Micropolitan Statistical Area",33718,144,23310,615,72,729,69.1,81,21,224
"Brevard, NC, Micropolitan Statistical Area",33090,140,16537,754,65,764,50.0,432,20,288
"Bridgeport-Stamford-Norwalk, CT, Metropolitan Statistical Area",916829,860,579693,49,654,87,63.2,153,7,877
"Brookhaven, MS, Micropolitan Statistical Area",34869,155,27291,548,102,547,78.3,22,29,32
"Brookings, OR, Micropolitan Statistical Area",22364,43,5581,912,43,870,25.0,896,19,309
"Brookings, SD, Micropolitan Statistical Area",31965,127,16939,746,56,805,53.0,350,18,387
"Brownsville-Harlingen, TX, Metropolitan Statistical Area",406220,791,202006,117,328,173,49.7,442,8,834
"Brownwood, TX, Micropolitan Statistical Area",38106,199,30211,510,96,575,79.3,21,25,101
"Brunswick, GA, Metropolitan Statistical Area",112370,571,54448,337,176,337,48.5,477,16,482
"Bucyrus, OH, Micropolitan Statistical Area",43784,265,22195,637,97,570,50.7,417,22,193
"Buffalo-Cheektowaga-Niagara Falls, NY, Metropolitan Statistical Area",1135509,871,621195,46,901,60,54.7,314,8,838
"Burley, ID, Micropolitan Statistical Area",43021,261,31297,494,94,586,72.7,48,22,204
"Burlington, IA-IL, Micropolitan Statistical Area",47656,312,20012,686,85,647,42.0,628,18,370
"Burlington, NC, Metropolitan Statistical Area",151131,647,63493,295,239,247,42.0,626,16,472
"Burlington-South Burlington, VT, Metropolitan Statistical Area",211261,717,85175,231,190,309,40.3,665,9,810
"Butte-Silver Bow, MT, Micropolitan Statistical Area",34200,148,14491,806,41,877,42.4,611,12,671
"Cadillac, MI, Micropolitan Statistical Area",47584,311,17978,727,96,573,37.8,711,20,266
"Calhoun, GA, Micropolitan Statistical Area",55186,366,32427,482,89,615,58.8,228,16,460
"California-Lexington Park, MD, Metropolitan Statistical Area",105151,551,38978,424,81,678,37.1,734,8,854
"Cambridge, MD, Micropolitan Statistical Area",32618,135,11896,854,86,636,36.5,747,26,82
"Cambridge, OH, Micropolitan Statistical Area",40087,225,13588,825,92,594,33.9,801,23,169
"Camden, AR, Micropolitan Statistical Area",31488,121,26368,568,153,385,83.7,9,49,1
"Campbellsville, KY, Micropolitan Statistical Area",24512,62,17145,740,72,731,69.9,74,29,31
"Cañon City, CO, Micropolitan Statistical Area",46824,301,19097,701,53,823,40.8,651,11,706
"Canton, IL, Micropolitan Statistical Area",37069,184,13692,823,84,652,36.9,737,23,176
"Canton-Massillon, OH, Metropolitan Statistical Area",404422,789,184903,125,483,121,45.7,534,12,674
"Cape Coral-Fort Myers, FL, Metropolitan Statistical Area",618754,834,233165,104,430,141,37.7,712,7,886
"Cape Girardeau, MO-IL, Metropolitan Statistical Area",96275,527,66454,288,181,328,69.0,83,19,328
"Carbondale-Marion, IL, Metropolitan Statistical Area",126575,598,58822,309,246,234,46.5,521,19,299
"Carlsbad-Artesia, NM, Micropolitan Statistical Area",53829,358,35008,451,92,601,65.0,130,17,423
"Carson City, NV, Metropolitan Statistical Area",55274,367,14916,791,40,883,27.0,881,7,874
"Casper, WY, Metropolitan Statistical Area",75450,459,27780,543,80,681,36.8,739,11,736
"Cedar City, UT, Micropolitan Statistical Area",46163,292,35770,442,114,493,77.5,25,25,113
"Cedar Rapids, IA, Metropolitan Statistical Area",257940,745,135307,169,290,197,52.5,367,11,709
"Cedartown, GA, Micropolitan Statistical Area",41475,243,25472,582,78,698,61.4,174,19,327
"Celina, OH, Micropolitan Statistical Area",40814,235,32703,478,71,736,80.1,19,17,397
"Centralia, IL, Micropolitan Statistical Area",39437,220,24406,597,115,488,61.9,169,29,34
"Centralia, WA, Micropolitan Statistical Area",75455,460,28321,537,112,501,37.5,719,15,530
"Chambersburg-Waynesboro, PA, Metropolitan Statistical Area",149618,644,51903,352,238,248,34.7,785,16,470
"Champaign-Urbana, IL, Metropolitan Statistical Area",231891,728,83183,237,283,200,35.9,758,12,663
"Charleston, WV, Metropolitan Statistical Area",227078,724,80721,245,467,126,35.5,763,21,252
"Charleston-Mattoon, IL, Micropolitan Statistical Area",64921,421,25695,579,111,506,39.6,679,17,422
"Charleston-North Charleston, SC, Metropolitan Statistical Area",664607,840,308450,84,868,62,46.4,522,13,626
"Charlotte-Concord-Gastonia, NC-SC, Metropolitan Statistical Area",2217012,894,1165043,20,3040,10,52.6,364,14,588
"Charlottesville, VA, Metropolitan Statistical Area",218705,721,80659,246,312,181,36.9,738,14,567
"Chattanooga, TN-GA, Metropolitan Statistical Area",528143,820,282965,91,862,63,53.6,341,16,448
"Cheyenne, WY, Metropolitan Statistical Area",91738,513,36606,438,107,527,39.9,674,12,689
"Chicago-Naperville-Elgin, IL-IN-WI, Metropolitan Statistical Area",9461105,915,5408169,3,6160,3,57.2,270,7,896
"Chico, CA, Metropolitan Statistical Area",220000,722,74981,259,202,293,34.1,797,9,801
"Chillicothe, OH, Micropolitan Statistical Area",78064,471,20070,685,116,487,25.7,890,15,529
"Cincinnati, OH-KY-IN, Metropolitan Statistical Area",2114580,890,944503,26,1962,25,44.7,556,9,794
"Claremont-Lebanon, NH-VT, Micropolitan Statistical Area",218466,720,49437,365,301,186,22.6,909,14,584
"Clarksburg, WV, Micropolitan Statistical Area",94196,523,41881,399,231,258,44.5,562,25,117
"Clarksdale, MS, Micropolitan Statistical Area",26151,76,15428,781,52,824,59.0,224,20,280
"Clarksville, TN-KY, Metropolitan Statistical Area",260625,746,132274,170,385,150,50.8,410,15,540
"Clearlake, CA, Micropolitan Statistical Area",64665,418,16501,755,81,680,25.5,892,13,647
"Cleveland, MS, Micropolitan Statistical Area",34145,146,17274,737,99,565,50.6,419,29,35
"Cleveland, TN, Metropolitan Statistical Area",115788,579,71290,268,239,246,61.6,173,21,249
"Cleveland-Elyria, OH, Metropolitan Statistical Area",2077240,889,1063242,23,1687,32,51.2,397,8,831
"Clewiston, FL, Micropolitan Statistical Area",39140,215,11165,863,59,790,28.5,865,15,518
"Clinton, IA, Micropolitan Statistical Area",49116,320,25845,577,79,692,52.6,361,16,463
"Clovis, NM, Micropolitan Statistical Area",48376,318,27193,551,74,715,56.2,285,15,506
"Coeur d'Alene, ID, Metropolitan Statistical Area",138494,626,79972,249,123,470,57.7,252,9,816
"Coffeyville, KS, Micropolitan Statistical Area",35471,160,19144,699,99,563,54.0,333,28,55
"Coldwater, MI, Micropolitan Statistical Area",45248,281,14712,799,61,779,32.5,813,13,598
"College Station-Bryan, TX, Metropolitan Statistical Area",228660,726,97436,213,242,239,42.6,607,11,738
"Colorado Springs, CO, Metropolitan Statistical Area",645613,838,214728,111,450,133,33.3,805,7,885
"Columbia, MO, Metropolitan Statistical Area",162642,672,63949,294,167,350,39.3,687,10,745
"Columbia, SC, Metropolitan Statistical Area",767598,846,383497,69,1071,50,50.0,435,14,576
"Columbus, GA-AL, Metropolitan Statistical Area",294865,757,169918,139,475,124,57.6,256,16,461
"Columbus, IN, Metropolitan Statistical Area",76794,462,37524,429,116,486,48.9,469,15,516
"Columbus, MS, Micropolitan Statistical Area",59779,385,39883,414,140,419,66.7,109,23,150
"Columbus, NE, Micropolitan Statistical Area",32237,128,26643,563,46,856,82.6,13,14,566
"Columbus, OH, Metropolitan Statistical Area",1901974,886,709386,40,1800,27,37.3,730,9,784
"Concord, NH, Micropolitan Statistical Area",146445,637,45317,381,111,509,30.9,834,8,861
"Connersville, IN, Micropolitan Statistical Area",24277,61,10393,882,51,833,42.8,601,21,236
"Cookeville, TN, Micropolitan Statistical Area",106042,552,51097,356,261,217,48.2,485,25,116
"Coos Bay, OR, Micropolitan Statistical Area",63043,408,15320,782,101,551,24.3,899,16,464
"Cordele, GA, Micropolitan Statistical Area",23439,56,10592,875,50,836,45.2,542,21,226
"Corinth, MS, Micropolitan Statistical Area",37057,183,24483,595,107,523,66.1,119,29,36
"Cornelia, GA, Micropolitan Statistical Area",43041,262,27027,556,85,644,62.8,159,20,284
"Corning, NY, Micropolitan Statistical Area",98990,537,34809,454,162,369,35.2,771,16,443
"Corpus Christi, TX, Metropolitan Statistical Area",428185,803,256389,98,504,115,59.9,204,12,681
"Corsicana, TX, Micropolitan Statistical Area",47735,315,25219,584,117,485,52.8,356,25,119
"Cortland, NY, Micropolitan Statistical Area",49336,321,13908,816,65,756,28.2,872,13,620
"Corvallis, OR, Metropolitan Statistical Area",85579,496,22224,635,84,654,26.0,888,10,763
"Coshocton, OH, Micropolitan Statistical Area",36901,180,15161,784,87,626,41.1,646,24,140
"Craig, CO, Micropolitan Statistical Area",13795,4,4428,915,23,914,32.1,819,17,433
"Crawfordsville, IN, Micropolitan Statistical Area",38124,200,16440,757,82,671,43.1,594,22,217
"Crescent City, CA, Micropolitan Statistical Area",28610,98,5962,910,32,903,20.8,915,11,714
"Crestview-Fort Walton Beach-Destin, FL, Metropolitan Statistical Area",235865,731,108627,195,342,165,46.1,526,14,556
"Crossville, TN, Micropolitan Statistical Area",56053,372,27869,542,113,496,49.7,444,20,268
"Cullman, AL, Micropolitan Statistical Area",80406,477,62799,297,227,264,78.1,23,28,45
"Cullowhee, NC, Micropolitan Statistical Area",40271,230,19428,695,100,558,48.2,481,25,111
"Cumberland, MD-WV, Metropolitan Statistical Area",103299,549,46882,374,245,237,45.4,540,24,136
"Dallas-Fort Worth-Arlington, TX, Metropolitan Statistical Area",6426214,914,3555111,4,6144,4,55.3,302,10,782
"Dalton, GA, Metropolitan Statistical Area",142227,631,80339,247,182,327,56.5,280,13,634
"Danville, IL, Metropolitan Statistical Area",81625,481,30674,506,142,412,37.6,716,17,396
"Danville, KY, Micropolitan Statistical Area",53174,353,38770,427,148,394,72.9,47,28,56
"Danville, VA, Micropolitan Statistical Area",106561,554,54204,339,225,267,50.9,408,21,230
"Daphne-Fairhope-Foley, AL, Metropolitan Statistical Area",182265,690,96918,214,271,211,53.2,347,15,528
"Davenport-Moline-Rock Island, IA-IL, Metropolitan Statistical Area",379690,784,172706,135,459,128,45.5,536,12,668
"Dayton, OH, Metropolitan Statistical Area",799232,848,355349,76,896,61,44.5,563,11,712
"Dayton, TN, Micropolitan Statistical Area",31809,123,15691,777,82,665,49.3,456,26,93
"Decatur, AL, Metropolitan Statistical Area",153829,653,101179,208,331,169,65.8,123,22,216
"Decatur, IL, Metropolitan Statistical Area",110768,564,54303,338,164,357,49.0,462,15,533
"Decatur, IN, Micropolitan Statistical Area",34387,152,25182,585,111,507,73.2,45,32,12
"Defiance, OH, Micropolitan Statistical Area",39037,213,24485,594,74,718,62.7,160,19,323
"Del Rio, TX, Micropolitan Statistical Area",48879,319,18723,709,47,854,38.3,703,10,780
"Deltona-Daytona Beach-Ormond Beach, FL, Metropolitan Statistical Area",590289,828,204183,115,495,117,34.6,786,8,826
"Deming, NM, Micropolitan Statistical Area",25095,66,10788,872,34,900,43.0,596,14,592
"Denver-Aurora-Lakewood, CO, Metropolitan Statistical Area",2543482,897,940279,27,1550,37,37.0,736,6,905
"DeRidder, LA, Micropolitan Statistical Area",35654,162,23453,610,96,572,65.8,122,27,73
"Des Moines-West Des Moines, IA, Metropolitan Statistical Area",569633,827,260548,96,615,98,45.7,533,11,728
"Detroit-Warren-Dearborn, MI, Metropolitan Statistical Area",4296250,906,1915407,11,2714,14,44.6,558,6,901
"Dickinson, ND, Micropolitan Statistical Area",24199,60,17249,738,43,872,71.3,60,18,376
"Dixon, IL, Micropolitan Statistical Area",36031,165,18364,721,61,780,51.0,403,17,426
"Dodge City, KS, Micropolitan Statistical Area",33848,145,22436,629,45,864,66.3,115,13,613
"Dothan, AL, Metropolitan Statistical Area",145639,636,105742,199,355,158,72.6,52,24,120
"Douglas, GA, Micropolitan Statistical Area",42356,253,20167,680,91,605,47.6,496,21,218
"Dover, DE, Metropolitan Statistical Area",162310,671,52665,347,158,373,32.4,814,10,769
"Dublin, GA, Micropolitan Statistical Area",58414,379,33150,475,166,356,56.8,277,28,44
"DuBois, PA, Micropolitan Statistical Area",81642,482,42597,397,203,291,52.2,376,25,110
"Dubuque, IA, Metropolitan Statistical Area",93653,520,64036,293,91,604,68.4,90,10,771
"Duluth, MN-WI, Metropolitan Statistical Area",279771,752,131245,172,384,151,46.9,513,14,587
"Dumas, TX, Micropolitan Statistical Area",21904,36,13403,827,50,834,61.2,179,23,171
"Duncan, OK, Micropolitan Statistical Area",45048,277,29313,523,101,550,65.1,129,22,183
"Dunn, NC, Micropolitan Statistical Area",114678,575,39594,417,180,329,34.5,791,16,479
"Durango, CO, Micropolitan Statistical Area",51334,337,20185,679,63,773,39.3,686,12,659
"Durant, OK, Micropolitan Statistical Area",42416,255,27713,544,95,576,65.3,127,22,186
"Durham-Chapel Hill, NC, Metropolitan Statistical Area",504357,814,213509,112,653,88,42.3,613,13,628
"Dyersburg, TN, Micropolitan Statistical Area",38335,202,21599,651,104,539,56.3,282,27,69
"Eagle Pass, TX, Micropolitan Statistical Area",54258,360,18687,710,46,857,34.4,793,8,824
"East Stroudsburg, PA, Metropolitan Statistical Area",169842,679,76158,255,122,474,44.8,550,7,876
"Easton, MD, Micropolitan Statistical Area",37782,195,16170,766,62,778,42.8,602,16,441
"Eau Claire, WI, Metropolitan Statistical Area",161151,670,85007,232,196,298,52.7,359,12,665
"Edwards, CO, Micropolitan Statistical Area",52197,342,16081,770,36,894,30.8,835,7,891
"Effingham, IL, Micropolitan Statistical Area",34242,150,23738,602,65,757,69.3,79,19,319
"El Campo, TX, Micropolitan Statistical Area",41280,241,33492,470,84,658,81.1,16,20,259
"El Centro, CA, Metropolitan Statistical Area",174528,682,67372,285,123,465,38.6,698,7,882
"El Dorado, AR, Micropolitan Statistical Area",41639,245,34674,458,158,376,83.3,10,38,4
"El Paso, TX, Metropolitan Statistical Area",804123,850,463944,62,495,116,57.7,253,6,903
"Elizabeth City, NC, Micropolitan Statistical Area",64094,414,27071,554,138,422,42.2,618,22,215
"Elizabethtown-Fort Knox, KY, Metropolitan Statistical Area",148338,642,75152,257,229,263,50.7,418,15,498
"Elk City, OK, Micropolitan Statistical Area",22119,38,15071,788,55,807,68.1,94,25,109
"Elkhart-Goshen, IN, Metropolitan Statistical Area",197559,701,82467,239,294,195,41.7,634,15,526
"Elkins, WV, Micropolitan Statistical Area",29405,108,11009,867,80,684,37.4,724,27,68
"Elko, NV, Micropolitan Statistical Area",50805,331,20275,677,65,761,39.9,673,13,635
"Ellensburg, WA, Micropolitan Statistical Area",40915,239,11546,857,49,838,28.2,871,12,672
"Elmira, NY, Metropolitan Statistical Area",88830,504,32633,479,110,514,36.7,743,12,656
"Emporia, KS, Micropolitan Statistical Area",33690,143,14842,793,62,775,44.1,575,18,338
"Enid, OK, Micropolitan Statistical Area",60580,391,34676,457,124,463,57.2,268,20,255
"Enterprise, AL, Micropolitan Statistical Area",49948,326,33021,477,120,480,66.1,117,24,130
"Erie, PA, Metropolitan Statistical Area",280566,754,158280,148,312,180,56.4,281,11,716
"Escanaba, MI, Micropolitan Statistical Area",37069,185,22455,628,58,796,60.6,191,16,483
"Española, NM, Micropolitan Statistical Area",40246,229,26106,572,86,634,64.9,136,21,222
"Eugene, OR, Metropolitan Statistical Area",351715,773,87756,227,357,157,25.0,897,10,752
"Eureka-Arcata-Fortuna, CA, Micropolitan Statistical Area",134623,617,28959,525,177,333,21.5,912,13,624
"Evanston, WY, Micropolitan Statistical Area",21118,29,12815,840,47,850,60.7,187,22,190
"Evansville, IN-KY, Metropolitan Statistical Area",311552,764,163287,145,395,146,52.4,369,13,641
"Fairbanks, AK, Metropolitan Statistical Area",97581,531,28104,540,123,464,28.8,861,13,645
"Fairfield, IA, Micropolitan Statistical Area",16843,14,6288,908,39,891,37.3,729,23,157
"Fairmont, WV, Micropolitan Statistical Area",56418,373,25478,581,141,414,45.2,543,25,106
"Fallon, NV, Micropolitan Statistical Area",24877,65,8816,894,31,904,35.4,764,12,651
"Fargo, ND-MN, Metropolitan Statistical Area",208777,712,124993,176,214,277,59.9,205,10,746
"Faribault-Northfield, MN, Micropolitan Statistical Area",64142,415,32148,486,69,744,50.1,427,11,732
"Farmington, MO, Micropolitan Statistical Area",65359,422,28737,532,126,455,44.0,577,19,306
"Farmington, NM, Metropolitan Statistical Area",130044,606,52628,348,173,342,40.5,662,13,611
"Fayetteville, NC, Metropolitan Statistical Area",366383,776,159198,147,492,118,43.5,590,13,600
"Fayetteville-Springdale-Rogers, AR-MO, Metropolitan Statistical Area",463204,809,237542,103,658,84,51.3,395,14,568
"Fergus Falls, MN, Micropolitan Statistical Area",57303,375,40599,406,126,457,70.8,69,22,197
"Fernley, NV, Micropolitan Statistical Area",51980,341,10852,870,47,851,20.9,914,9,809
"Findlay, OH, Micropolitan Statistical Area",74782,457,33754,468,93,592,45.1,544,12,652
